geneid	control_RPF_2	control_RNA_2
CG6083	0	0
PCID2	194	1490
Apt1	406	4418
CG32091	121	592
CG6071	1	24
RIOK1	198	2410
Polr3H	46	1548
CG32085	3	22
TfIIEalpha	59	4596
Sugb	121	2157
Pldn	21	450
CG14135	47	773
Dph1	134	1586
Dnai2	0	0
CG11658	9	426
mtTFB1	66	0
Ccdc56	63	0
crim	92	2172
CG14132	0	2
Bmcp	40	2781
sunn	21	28
CG32087	0	0
loaf	1	29
Gr68a	0	0
Muc68D	0	0
Tim13	0	0
Pi3K68D	137	5672
CG14131	3	493
CG5964	2	11
CG10907	83	1245
Klp68D	59	2781
CG10361	6	4
CG42255	9	49
CG14130	47	381
CG5946	246	2877
CG11597	1	103
RpL10Ab	1943	21791
CG32095	106	1677
CycA	192	62712
CG7264	0	11
CG43064	0	2
CG12521	0	0
CG44837	0	0
CG5906	0	0
Sprn	0	0
CCDC151	0	0
CG5897	0	0
CG11588	0	0
SdhAL	2	0
byn	0	0
Rpt4R	0	0
CG5883	0	0
CG7252	0	0
CG17826	0	0
obst-G	0	0
CG7248	0	0
CG11570	0	0
CG43294	0	0
prc	0	0
Muc68E	0	0
CG42397	0	0
CG14125	0	0
CG43896	0	1
CG6938	0	0
CG6931	0	0
viaf	169	3322
Grip163	130	2111
Pop2	505	7317
CG6928	209	2075
rols	55	317
CG43993	0	0
CG6793	1	0
CG43638	0	0
Sema5c	80	476
CG17154	0	0
vers	104	1406
ssp	114	3302
CG11560	40	1066
yps	825	16635
Ir68b	0	0
CG34241	0	0
Lsp2	0	1
DEF8	49	282
CG5645	249	2367
Atg12	74	750
ND-SGDH	454	4885
RhoGAP68F	226	3864
eIF3l	662	13906
Nrx-IV	241	1840
CG32099	50	205
CG9760	2	13
Rh7	0	1
CAH2	28	2172
CG6910	50	55
Est-6	25	11
thoc6	227	2230
Est-P	2	0
CG11529	0	0
Ak1	22	467
Tsen54	36	1791
app	21	5049
CG32100	22	1402
Pbgs	41	872
Sms	198	13793
INPP5E	23	268
CG4328	0	0
CG44355	0	0
Lmx1a	2	3
CG10418	110	1024
CrzR	0	1
Ncc69	550	1882
CG32104	118	1883
Obp69a	0	1
Smyd4-2	2	3
SCaMC	141	8617
ArfGAP1	264	6211
toe	0	0
eyg	1	0
CG32102	0	0
CG10616	106	2748
CG10663	2	42
CG33725	0	0
CG10660	6	43
CG10657	0	0
CG10638	487	2178
CG10681	23	319
CG10646	88	537
vih	428	8051
CG10654	9	914
sti	87	3356
tral	9893	155916
Gcn5	267	3130
ver	24	320
eIF2beta	1070	9904
nst	84	4556
Tsf2	258	5316
CG34242	15	423
Pmm2	174	711
CG4069	314	3239
sowah	177	2034
ara	0	0
caup	1	0
mirr	51	144
SmD1	394	3961
Ptp69D	118	9307
CG32112	14	685
CG32109	48	1018
Klc	730	5036
CG10984	65	2316
CG10973	186	657
Vps13D	93	2667
Hip1	115	3991
CG32106	0	0
CG10969	1	0
CG17666	0	0
Atg1	96	6594
CG42709	64	1561
Sap130	276	2312
CG32110	0	1
Sf3a2	329	1043
CG42588	57	1225
nebu	457	9934
CG10948	72	2070
Wbp2	332	1869
Ent3	0	18
CG32107	0	0
CG10943	0	0
CG14120	0	0
CG43894	0	0
CG14118	2	3
CG12520	0	140
CG32117	0	0
CG32115	1	2
CG10752	0	0
Or69a	0	2
CG10748	0	0
CG10749	0	0
CG11262	1	1
CG11263	85	1439
Cul6	35	1056
MICAL-like	264	5688
CG11267	833	12333
mRpL20	302	1109
ste14	34	831
Adk2	161	3385
RpS12	834	28297
Zmynd10	21	14
CG17672	5	17
Srrm1	235	7898
RpS4	2157	49339
Syx13	57	4235
CG11279	155	988
CG14115	0	0
CG34428	0	0
CG34429	0	0
CG17300	0	0
CG11251	0	0
trn	29	131
CG33262	0	0
snky	1	1
caps	116	551
CG32119	1	0
Sfp70A4	0	0
CG42481	0	0
CG43147	0	0
SP	3	0
CG14113	0	0
CG17687	0	0
Nplp2	111	111
CG14111	0	0
SNCF	0	0
CG14107	0	0
ImpL1	0	0
CG14110	0	1
CG10171	48	2043
Poc1	198	2744
sens	0	0
CG10222	49	1447
flr	845	10851
CG32121	1	0
CG33263	0	0
CG14106	0	0
CG14105	0	0
CG10713	0	0
CG10154	0	0
CG10725	0	0
CG10140	1	0
CG14109	1	4
cmb	132	3655
JMJD7	15	1218
CG10738	5	1338
CG10116	0	0
CG10089	5	85
stv	43	236
Abp1	163	6730
Tgi	99	1686
Spt20	59	6751
Vps36	59	1036
Liprin-beta	125	6756
CG10710	0	4
bru3	8	59
CG43184	0	0
CG8757	0	0
CG8750	0	0
Tsp68C	0	0
Hml	84	19
CG8745	60	46
dysc	9	17
CG13737	11	29
Rgl	47	2162
CG8833	69	2548
DCTN1-p150	606	8029
CG32137	67	669
Meics	56	2104
Nxf3	222	3107
ssp2	258	0
CG13738	0	5
Hsc70-1	1	16
CG17364	0	1
CG17362	0	0
CG9040	0	0
26-29-p	12831	63564
CG17361	27	1386
CG17359	22	1167
Nprl3	37	2974
upSET	251	7530
Ptip	137	4594
endos	503	16461
CG6650	39	2644
CG6661	0	0
Hsc70Cb	3329	25598
Neurl4	102	1543
CG6833	67	1742
CG13484	57	1051
Frl	108	2640
Pex1	66	1448
btl	11	23
CG8100	0	0
Fbp1	0	0
Sox21a	0	0
Sox21b	0	0
D	2	3
nan	0	3
nuf	139	8912
saturn	0	1
CG7768	0	1
CG7924	0	3
CG34244	3	0
CG7906	0	0
fz	51	1519
CG13482	0	0
CG13481	0	0
CG43120	13	135
CG3868	0	1
stwl	98	1499
CG3919	28	702
bbg	104	1200
CG9592	1	0
CG4613	0	0
CG43246	0	0
Mpcp2	908	24237
Gbs-70E	236	13055
CG34039	75	944
Lk	2	1
CG42758	0	0
HGTX	1	0
shd	2	35
CG9628	105	358
RecQ5	226	5158
dlp	15	5955
CG43121	0	0
ome	29	130
CG4914	1	5
CG5048	0	0
gdrd	0	0
CG13474	0	0
CG17177	0	0
CG13476	0	0
CG13473	0	0
CG13471	0	0
CG42507	1	0
Trl	170	569
Tsen34	30	76
Mgat4a	42	1068
Mgat4b	0	3
mop	1051	8956
bmm	432	4557
Tdrd3	339	4677
Helz	357	6441
NHP2	839	3180
gnu	618	14784
CG17839	38	121
CG34245	0	0
DCX-EMAP	8	0
CG13465	0	0
BobA	0	0
Tom	0	1
Brd	0	0
Ocho	0	0
CG3349	0	0
CG5114	194	1676
mnd	173	5233
Zip71B	1	42
mRpL39	195	2365
Prosbeta2	1098	9493
Reck	4	30
Sytbeta	0	0
CG32148	0	0
Rpn12R	0	0
ind	1	0
CG43678	0	0
CG18581	0	0
CG12310	0	0
CG43679	0	0
CG13461	0	0
CG43680	0	0
CG18649	0	0
EAChm	0	0
CG13460	0	0
Plp	107	4558
Or71a	0	0
sstn	16	674
GlyRS	931	6964
CTPsyn	621	5670
CG45071	11	2400
CG13458	0	2
Cep135	185	2208
CG16959	15	7
CG32847	0	3
CG13457	0	10
CG12316	48	7091
Pdi	2072	20873
CG32147	17	966
Pex3	123	3792
FucTA	0	6
Msh6	1015	12065
Prp31	343	1805
CG7011	55	1520
CG6878	48	937
CG6888	1	0
Tollo	48	376
Best4	0	0
Best3	0	5
CG7255	150	2077
Toll-6	0	0
CG33259	0	0
cocoon	0	0
Ran-like	0	0
CG12355	8	68
CG13455	0	2
CG7276	0	0
CG7275	377	1469
CG7272	9	298
CG7857	55	2252
CG7841	3	1736
Z600	0	0
gdl	61	90
gdl-ORF39	0	0
MsrA	134	735
CG13454	0	2
mex1	0	0
yellow-k	14	1
CG7945	80	4872
CG33986	0	0
CG33985	0	0
CG42729	0	0
CG42728	0	0
obst-H	0	1
CG43248	0	1
CrebA	36	285
AGO2	1379	7683
CG7739	364	1722
SCCRO	245	2933
dop	155	9140
CG16979	127	1839
mrn	56	1646
CG12301	240	2214
AIMP2	414	3838
CG7656	190	2954
RhoGAP71E	135	7148
CG7650	82	1785
CG13449	0	0
comm3	0	2
Phs	224	8774
CG43083	2	0
Eig71Ea	0	0
Eig71Eb	0	0
CG43084	0	0
Eig71Ec	1	0
Eig71Ed	0	0
Eig71Ee	0	0
Eig71Ef	0	0
Eig71Eg	0	0
Eig71Eh	0	0
Eig71Ei	1	0
Eig71Ej	0	0
Eig71Ek	0	0
CG43082	0	0
CG7304	0	0
CG7579	0	0
Pgant8	2	1
CG34452	0	1
CG34451	1	0
comm2	10	8
CG42571	1	0
CG42570	0	0
comm	0	0
CG6244	0	0
CG13445	0	0
fwe	93	4201
CkIIalpha-i1	20	286
DCP2	109	13892
dbo	133	4335
CG12713	5	706
CG18081	328	4241
CG15715	143	6458
meru	0	0
pHCl-1	2	8
sff	3	356
Pka-C3	88	493
GXIVsPLA2	32	1497
elgi	52	3468
CG17032	4	6
Brr2	902	11369
CG10516	39	642
brm	434	9771
CG17026	5	14
CG17029	51	201
CG17028	3	6
CG17027	1	10
Arl1	176	2208
PolD1	530	6807
Hip14	34	5663
hzg	38	2422
mRpS31	98	1116
mib1	204	2873
Notum	3	1
CG42717	0	0
CG42716	0	0
CG42538	0	0
CG5895	0	0
Diap1	336	3109
Mbs	258	8088
CG33258	0	1
CG13075	0	1
Tasp1	11	3491
CG5235	70	4954
ClC-c	164	6004
CG13074	0	2
ATPsynbetaL	0	4
IleRS-m	65	714
IntS9	136	1696
CG43295	16	376
Zn72D	564	4296
Taf4	130	12144
Strump	136	1015
Pgm1	250	5600
SsRbeta	623	8403
Trs20	64	862
elg1	182	16060
CG5157	0	0
CG5151	32	1697
CG32152	34	0
CG33796	0	0
CG33795	0	2
CG33687	0	0
CG33688	0	0
CG33689	0	0
dls	0	0
CG13073	0	1
l(3)72Dn	294	4391
CG5027	32	1859
PDCD-5	262	1676
MED10	317	1361
Hsc20	38	699
l(3)72Dp	23	373
l(3)72Dr	3	11
CG13055	0	0
CG13054	0	0
CG13053	1	0
CG34247	0	0
CG13071	0	0
CG13070	0	0
CG13051	0	0
CG13069	0	0
CG4950	7	6
CG13068	0	0
CG34248	0	2
CG13067	36	7
CG13066	0	0
CG13065	0	0
CG13050	0	0
CG13064	0	0
CG13049	0	0
CG13048	0	0
CG13047	0	0
CG13046	0	0
CG13045	0	0
CG4962	0	1
CG4982	0	0
CG13044	0	0
CG43249	0	0
CG13043	0	0
CG13063	0	0
CG13042	0	0
CG13062	0	0
Nplp3	3	4
CG13041	0	0
CG13060	0	0
CG42718	0	0
CG13059	0	0
CG13040	0	0
CG13039	0	0
CG13038	0	0
CG13058	0	0
CG33061	0	0
CG33060	0	0
retinin	0	0
CG13056	0	0
CG4998	3	3
CG33257	0	0
mRpS34	144	1020
Golgin104	78	1121
Tcs3	119	1381
Pdh	0	12
ringer	14	18
Cpr72Ea	0	0
Cpr72Eb	0	0
Cpr72Ec	0	7
CG4842	18	661
CG18814	0	0
roq	51	5630
Agpat4	73	2045
Agpat3	313	2856
RAF2	243	6554
CG44836	1	7
Gagr	0	5
fax	336	12967
Serinc	632	2344
GluRS-m	30	465
TyrRS	463	5305
CG33158	243	1496
dsx-c73A	14	36
aos	7	166
CG42514	96	919
CG43373	4	15
st	3	5
CG13033	0	0
CG4229	0	0
Mipp1	322	598
UQCR-6.4L	0	4
mbf1	827	7837
nxf2	267	2350
Smn	170	3116
Rpn12	1447	8158
UQCR-C2	650	7404
Syx8	33	785
CG32163	20	49
l(3)73Ah	16	3742
tra	59	438
spd-2	355	16627
Apl	25	1012
Arts	212	7922
CG4098	32	506
Prosbeta6	1037	8807
Su(P)	170	2969
CG4101	21	47
Mo25	256	3452
Abl	138	9345
Baldspot	89	6400
Galphaf	6	36
zetaCOP	302	2219
CG13032	1	2
Lasp	180	0
CG43954	1	0
CG9692	0	1
Dab	28	5321
CG13026	0	0
CG13031	0	0
PGRP-SB2	0	0
PGRP-SB1	0	3
Dbp73D	277	2734
CG9701	22	15
CG42852	0	0
Nrt	81	1477
0	54	4557
CG9705	288	9278
CG9706	153	1415
eIF3e	466	13065
CG9674	1753	4307
nudC	751	4744
CG13024	0	1
TSG101	355	3714
kud	143	1175
Zcchc7	309	4911
CG32161	0	1
Rh4	1	4
sina	48	7529
sinah	0	0
CG13029	1	20
CG9951	112	2199
Lmpt	79	477
CG32170	3	4
CG13028	1	1
CG13023	0	0
CG11905	1	0
CG13022	0	0
Cpr73D	1	5
Obp73a	0	0
Ogdh	704	5508
Exn	157	1045
CG3764	47	2611
CG6664	105	6415
CG7728	482	4896
CG6652	1	8
a10	1	4
Fit2	48	2121
CG7730	294	5536
Ilp8	1698	5444
beg	99	1338
scaf6	176	2099
Papst2	17	1795
Pop5	35	661
TpnC73F	30	141
rogdi	66	5103
CG7724	1	7
Rbp6	2	77
Afg3l2	316	4622
CG7707	0	0
CG6497	0	0
CG13723	0	0
ND-24L	0	0
CG13724	0	0
CG13725	0	0
Or74a	0	0
CG6479	367	5090
CG13727	0	0
brv2	0	1
Mip	0	1
CG7692	64	2123
tap	0	0
Cad74A	347	604
CG13728	0	0
CG13731	0	0
blot	147	12326
Sec3	157	3399
CG7630	605	5449
Polr3G	55	358
Gorab	57	2326
frc	18	0
Coq4	35	0
CG32176	67	2789
CG12229	0	48
CG18265	1	0
QIL1	94	3776
SecCl	1	6
UQCR-Q	283	3919
CG34250	55	192
CG13733	0	5
qjt	1	8
CG6333	0	0
Oatp74D	72	298
edin	0	1
U4-U6-60K	152	1620
CG7564	124	2157
Edc3	221	11182
Nedd4	196	15763
Jon74E	0	0
CG7542	0	0
CycT	170	10621
Eip74EF	16	162
Vps60	384	2271
anchor	33	1700
CG7497	22	43
Pep	975	27295
CG43085	0	4
Ndfip	158	4911
Krn	39	1046
CG7484	172	1067
Crtc	87	5659
CG34251	0	0
Ccn	0	2
CheB74a	0	0
CG6052	0	0
CG7460	16	39
CG6034	2	0
Adgf-B	0	0
Adgf-A	98	381
Adgf-A2	0	7
CG32182	0	5
CG32181	0	14
CG42815	0	0
CG42816	0	1
NUCB1	529	6185
CG5589	231	1769
CG32187	8	123
CG32191	5	1
Cln3	52	156
Ir75a	0	1
Ir75b	1	1
Ir75c	0	0
Grd	0	5
CG32188	0	0
CG32189	0	1
CG5577	6	75
CG5567	55	420
MED19	118	7039
CG7430	567	8617
TrpRS-m	119	2103
CG5535	800	3858
CG34002	0	0
CG7408	6	267
CG5506	0	0
CG16775	0	0
CG7402	0	2
Tsp74F	93	3589
Prestin	84	3032
Wdr92	73	643
CG5290	284	1139
Eip75B	350	1486
CG32192	0	0
CG42393	0	0
CG44006	0	28
CG44005	13	2053
CG44004	0	38
CG34253	2	0
CG13698	19	1349
mRpS26	110	1971
Polr3D	74	2658
mus304	73	2540
CG32195	22	264
CG7341	8	808
CG42853	0	0
Cyp312a1	1	0
geko	16	135
CG7330	1	5
CG13699	1	0
hid	23	500
CG7320	0	0
CheA75a	0	0
CG5103	0	0
CG13700	1	0
grim	1	0
rpr	0	6
skl	1	0
CG32196	12	134
CG4306	11	6
Met75Cb	0	0
Met75Ca	0	0
AstC-R2	0	0
CG32198	0	0
AstC-R1	0	0
CG7271	0	0
term	0	0
CG13380	15	0
CG4174	2	0
CG18234	2	62
CG18233	1	49
CG18231	0	52
CG32201	0	38
CG32199	0	34
not	98	3447
bora	33	5901
MYPT-75D	37	6541
CG42495	8	101
Capr	1385	34104
GNBP2	0	19
GNBP1	11	241
Sgf11	23	1513
CG32202	43	1146
Chmp1	357	2558
Cyp12c1	0	3
CG6893	0	0
Dic4	0	0
CG12477	3	2
CG6885	1	0
MED11	81	780
Nufip	65	1916
Atg3	221	1705
ftz-f1	139	4535
CG14073	48	13090
HipHop	74	8061
Cat	822	1670
Indy	884	8754
CG6865	0	0
CG14074	41	816
Dysb	31	695
Grx1	95	1836
Rad9	44	1261
Blos3	25	228
Uggt	1041	9699
CG3961	15	312
NijB	0	0
CG3902	293	2915
RpL26	1552	32565
arx	107	1389
CG6843	129	2693
CSN1b	548	4117
Prp6	299	1425
Ir75d	0	0
COX6AL2	0	0
CG6839	0	0
CG18223	0	0
CG3819	0	0
CG32204	2	6
CG43049	1	0
CG6836	4	37
CG14075	0	0
CG11619	0	11
CG34256	0	4
CG18135	210	7093
CG3808	168	2408
SmydA-2	0	1
nkd	17	81
Acp76A	0	0
CG43407	0	0
Ugt316A1	11	3171
Sfxn2	70	2119
Mkp3	58	4412
MESR6	135	1352
CNPYb	119	2683
Naxd	60	1945
CG14079	1	17
Gem2	68	2420
CG14082	0	0
Spn75F	0	0
fz2	36	756
CG33647	0	0
mRpL21	245	1392
rept	662	4319
nes	94	4004
Bet1	40	1082
Max	97	965
Mettl5	27	0
CG42374	54	0
CG45081	0	2
Aldh7A1	2	59
CG14085	0	0
CG14088	0	0
CG14086	0	0
CG14089	0	0
Gbs-76A	6	19
fal	39	3538
pip	23	33
CG32206	0	0
ms(3)76Ba	0	0
CG33062	1	59
Chd3	385	6202
CG14095	0	0
CG14096	0	0
CG32214	0	0
825-Oak	0	0
CG12519	0	5
CG18294	0	0
CG32213	0	0
brv1	0	1
CG32212	0	8
CG9449	2	34
CG9451	8	4
CG9452	0	1
Cpr76Ba	0	0
Cpr76Bb	0	0
Cpr76Bc	1	0
Cpr76Bd	0	0
CG9279	0	0
CG46434	0	0
Ltn1	512	6150
Rcd7	0	0
CG46435	0	0
CG9300	238	2573
Shal	3	101
CG9231	352	3851
CG9330	206	6445
CG14100	165	1355
ash1	68	6689
Taf6	134	3357
CG9368	0	3
lush	0	0
CG9372	9	7
Lon	269	2956
PIG-F	127	1857
l(3)76BDm	142	4087
asf1	650	7905
ms(3)76Cc	1	14
wnd	38	827
Rnf146	81	3368
Oat	224	486
tey	2	3
CG8765	12	2110
Gbeta76C	0	0
verm	8	4
serp	13	10
Trpml	0	0
CG42637	0	0
CG42529	0	0
CG42638	0	0
Gyc76C	0	0
ms(3)76Ca	0	0
SREBP	438	5534
CG14102	20	1017
Ir76a	13	522
TORIP	270	2980
Ccdc58	96	1260
CG34116	22	0
CG14104	39	171
Kap-alpha1	130	6190
Cyp305a1	93	202
cyc	182	4698
Fibp	104	2059
Deaf1	63	4111
trc	119	6458
CG32221	4	283
kto	347	4288
Papss	110	1354
Rab8	98	7137
Usp32	126	1888
Mi-2	1153	20471
Su(Tpl)	183	19837
Prp3	294	3427
Mtr3	283	795
Rpn1	2697	14787
Su(z)12	154	9121
Pfdn6	491	3156
Grasp65	247	2894
CG8004	85	1955
RhoGDI	673	6792
CG46462	0	3
Ac76E	5	71
CG32219	0	0
CG34258	0	0
CG33710	0	0
CG42655	0	0
CG42654	0	0
CG42263	0	0
CG14182	23	277
CG17732	8	20
hale	1	4
schuy	0	1
Csas	0	1
fln	0	0
Nca	38	2779
CG7646	1	207
Gabat	926	15116
Tom20	587	6472
CG7668	156	6006
kug	220	10094
CG14183	0	6
Lamtor1	139	1802
sNPF-R	1	3
CG14186	1	2
CG14185	0	0
Ir76b	0	0
CG14187	99	57
CG7365	4	5
gig	158	4647
obst-J	0	0
CG7335	0	0
CG7328	22	537
CG42674	86	3725
Ssk	16	27
CG42833	0	0
obst-F	1	0
CG7298	4	0
CG7290	0	0
CG6996	0	0
CG7017	0	0
CG6933	0	0
CG17145	0	0
CG17147	0	2
Su(var)3-3	83	4357
CG13813	1	18
CG17233	177	4189
Clc	588	6092
CG6951	14	700
rdgC	1	72
CG32228	0	0
gogo	1	6
CG17122	0	0
FRG1	123	708
Pex23	35	760
SCCRO4	95	6696
CG32225	0	17
polo	380	34181
alphaSnap	346	2832
Spn77Ba	6	39
Spn77Bb	0	2
Spn77Bc	1	4
Rbbp5	99	568
eRF1	400	17466
CG5618	7	35
kin17	89	1558
CG5665	1	102
Prim2	215	3350
Toll-9	0	0
in	0	0
CG13247	0	0
Ide	338	4231
RhoBTB	83	6897
CG5498	231	3977
fbl	44	1041
CG33969	28	1713
trbl	74	2155
CG13248	3	3
zye	5	1
CG5282	0	15
CG5274	104	981
CG5262	54	1338
Las	101	1048
Psn	106	3605
mRpL15	190	2113
CtIP	144	2932
Hpd	0	27
CG5910	0	18
CG5199	43	4189
atk	0	5
mag	0	1
CG42764	0	0
CG5955	1	8
CG32428	130	4608
CG5969	57	1957
isoQC	32	1429
ZnT77C	14	535
ND-39	438	4223
CG32425	156	8491
CG18281	0	4
CG17637	0	8
CG5078	1	9
BNIP3	308	1820
mTerf3	58	609
CG5104	52	798
Pss	69	4188
CG4858	140	604
Rcd2	41	143
CG13250	0	1
knrl	0	0
CG13251	1	0
kni	1	1
cmpy	0	0
CG34260	0	0
CG13252	103	483
Gr77a	0	8
CG33912	0	0
CG43251	0	0
CG4074	23	760
CG4186	17	325
CG4042	54	1510
Pitslre	391	6980
Pex16	92	1837
Pex14	133	2870
Pcif1	256	9305
CG11396	175	0
Six4	75	591
CG3698	0	0
tzn	505	5727
Spc105R	265	6919
CG3634	56	3000
HIPP1	218	10780
CG3618	32	2411
Pka-R1	184	6692
Mst77F	0	2
CG3288	0	0
CG13255	0	7
CSN3	243	4025
CG11456	68	1379
CG32432	0	0
Sfp77F	0	0
CG43931	0	0
CG11458	0	0
fng	29	320
CG10589	0	13
Sems	0	1
CG10588	0	0
CG11037	0	0
CG10587	0	0
CG12983	0	0
CG33287	0	0
CG33286	0	0
CG12984	2	7
skd	185	17052
Pdss2	13	789
CG10584	5	1101
Polr3E	139	1371
CG10581	6	11
siz	105	2822
CG43072	0	0
ko	13	133
CG33285	0	0
CG43938	1	1
CG33284	0	0
ICA69	4	5
CG10565	227	9760
Ac78C	0	48
chb	176	11235
AsnS	584	5263
CG42337	0	5
park	88	46
CG34261	94	855
CG33054	35	147
CG33056	85	678
CG10512	52	111
CG10510	0	0
CG10508	1	13
Trmt112	191	863
Ilk	166	2628
CG43219	1	0
Eip78C	2	19
CG43218	2	0
CG9391	158	2716
CG9389	0	4
AcCoAS	69	2770
ppl	52	2022
CG12974	0	1
pzg	730	15912
Cpr78Ca	0	0
Cpr78Cb	0	4
Edg78E	0	0
CG43702	0	1
Cpr78Cc	0	1
CG11309	109	59
CG7632	61	1638
Pc	81	1491
Rab26	0	0
Tsr1	558	4710
Tbc1d8-9	379	7189
CG32436	7	33
ebd2	54	1180
CG12971	0	1
CG32437	1	0
CG32440	0	0
rgn	211	967
sa	0	2
barc	209	3832
CG33288	7	2
Aef1	23	7450
CG5664	40	1611
Alp1	1	1
Syx7	226	4305
croc	2	5
Neu2	0	3
CG7202	0	8
CG7519	268	1959
Hr78	92	3032
Glg1	362	8318
Est-Q	0	9
M6	43	276
SAK	59	3070
Cdk12	140	6242
CG7611	286	6286
Arv1	25	392
Mkrn1	257	10421
ppk5	0	0
Rpn10	1645	8207
COX8	948	2892
VhaM9.7-b	342	6409
CG33290	0	0
Wnk	137	5241
CG7173	0	0
CapaR	0	1
CG7634	0	0
CRIF	198	1300
SMC5	562	6708
EMC10	295	2044
TfAP-2	0	0
S1P	26	641
CG11307	60	4246
CG7166	0	1
Alg11	96	2748
MED1	297	6747
ORMDL	60	1451
CG32444	5	11
CG32445	0	1
Atox1	67	3709
CG43980	0	1
Cpr78E	0	0
CG11249	0	0
Als2	45	1807
CG11248	24	2369
Sfp78E	0	9
CG32447	0	0
CG11247	26	3757
Polr2H	336	1486
CG14570	0	19
CG14569	0	2
CG14568	0	0
CG14573	0	0
CG14567	0	0
CG14566	0	0
CG14572	1	2
CG14565	0	0
Syn1	6	105
CG14564	0	4
CG7370	0	0
eg	0	0
CG43895	0	0
CycH	71	3258
CG7407	34	1230
CG7414	267	18320
CG32448	15	121
CG7148	65	1040
Nopp140	1090	11576
P5CDh1	457	5364
CG14563	0	0
mub	328	15223
SLC22A	2	21
PolH	135	3565
CG14562	81	3377
CG7458	64	2647
Chs2	0	0
P5CS	8	30
Act79B	0	0
CG7140	1	0
CG43392	0	0
Oct-TyrR	0	22
CG14561	7	1099
CG7139	93	4007
CG7133	114	2511
CG7130	13	613
RpLP0	1960	25703
Sfp79B	0	0
msopa	0	0
olf413	3	1
Rich	77	4223
Ddx1	337	2136
CG11523	7	1803
Csp	90	9921
Srpk79D	3	132
Hem	251	2721
IleRS	1270	14012
Ten-m	75	1382
CG32450	0	1
CG11449	1	0
laza	6	360
CG11438	5	15
CG11437	0	1
CG11426	13	26
CG11425	0	0
CG43312	0	0
CG43331	0	0
CG43330	0	0
CG43329	0	0
CG11404	0	0
Trxr-2	4	0
CG14459	0	0
ND-B14.5AL	1	0
CG33766	0	0
CG33767	0	0
CG33768	0	0
CG33769	0	0
CG33770	0	0
CG33771	0	0
CG33772	0	0
CG14457	0	0
CG14455	0	0
CG14456	9	0
CG14454	0	0
CG12546	0	0
CG14453	0	0
CG14452	0	0
CG32453	0	0
CG45116	0	0
CG11370	0	0
ArfGAP3	192	5322
CG32452	46	3720
mael	318	5631
CG14451	0	1
CG14450	69	1374
CG11367	52	1376
CG32454	0	6
CG11241	40	377
l(3)04053	47	2992
CG7369	22	678
SPoCk	165	10792
CG14448	0	0
jim	58	632
CG45428	0	0
CG11226	0	0
CG32462	0	0
CG32459	0	1
CG13239	0	0
CG33169	13	317
CG33170	23	665
EMC4	692	4221
Arf79F	869	20864
CG11109	105	12
Chro	392	12395
Ssl1	96	716
slif	393	10374
CG11131	1	10
BoYb	214	3135
CG12768	2	23
Mes2	39	4237
CG32461	0	2
CG32457	0	0
nrm	12	124
RpL10	2588	87965
CkIIalpha	2166	28087
CG33217	159	3376
Vps11	76	4445
CG34031	0	4
nAChRalpha4	8	2197
alpha-Cat	810	9656
ND-MLRQ	1596	5997
AGO3	540	9904
Spf30	193	6133
CG40298	2	37
CG17698	91	8153
CG43968	0	0
CG40470	1	55
CG40045	604	11277
Snap25	1	0
nvd	19	65
mRpS5	134	5043
scro	1	109
CG40472	3	199
ND-AGGG	4	566
Set1	194	8640
MED21	196	4560
UQCR-11	761	4641
lovit	1	7
FASN3	20	165
l(3)80Fg	85	1612
CG40160	139	2324
CG41284	0	12
CG42598	0	43
CG40228	142	2581
vtd	778	8805
RpL15	2363	46537
Dbp80	409	4063
eIF4B	130	493
l(3)80Fj	1299	18682
DIP-lambda	3	102
CG46302	0	0
CG40498	0	66
rl	231	5959
CG40191	240	7021
Yeti	442	7264
l(2)41Ab	4	153
Maf1	92	5747
CG17691	346	6376
CG41520	10	59
CG17684	7	242
MFS17	79	3680
CG41378	48	984
Scp1	0	79
dpr21	0	1
CG41242	0	0
RYa	0	0
uex	155	11032
Haspin	361	7555
CG17683	304	5536
RNASEK	655	4496
IntS3	255	10900
Gprk1	225	5690
RpL38	2646	31630
Stlk	220	6662
p120ctn	205	8955
CG17486	210	4599
CG17883	58	5832
Nipped-B	474	21500
conu	119	11314
CG12547	147	5017
CG17528	206	5884
CG14464	352	5323
CG44102	0	3
Ir41a	1	0
TpnC41C	0	5
CG3107	331	16237
gus	120	18032
Atf6	52	4147
Nipped-A	616	16615
d4	180	10293
sxc	424	10921
CG10465	184	5007
CG10395	87	3447
IFT20	2	7
COX4L	0	3
CG10417	408	12130
stw	61	825
CG30440	129	3980
Ugt50B3	18	314
TpnC4	2	11
Fis1	283	3068
CG17508	205	6781
hrm	158	10228
CG1344	168	5408
Not3	570	11332
CG8245	0	7
kune	193	1899
scaf	3	50
0	815	9295
vlc	463	11442
ap	0	14
l(2)09851	475	4646
CG34200	447	1672
CG7791	76	883
Gp210	667	16480
ZnT41F	6	499
Or42a	0	9
Tsp42A	0	0
Or42b	4	0
dpr12	0	1
CG44438	0	0
CG43366	5	4
CG7882	0	1
CG7881	2	1
BubR1	565	6875
mle	160	2520
Src42A	289	5243
Act42A	3370	12013
Pngl	69	3520
Strica	13	387
SCAP	52	3821
CG14591	0	2
Tbce	132	3053
CG34211	0	0
CG34212	0	0
CCHa2-R	0	1
CG7856	0	0
l(2)k09848	360	2652
